job	name	step	eval_window	n	accuracy	correct	trunc_pct	mean_tokens
2102790145764761600	loop-s6-stage1-k1024v512-r1-256-600step-0923b	100	0	1	57.2	286	21.2	2598
2102824974791225344	loop-s6-opd-fkl-latent-lr3e5wu10-plain-s1000-0923	10	0	1	66.0	330	20.4	2483
2102824974791225344	loop-s6-opd-fkl-latent-lr3e5wu10-plain-s1000-0923	20	0	1	64.8	324	17.6	2337
2102824974791225344	loop-s6-opd-fkl-latent-lr3e5wu10-plain-s1000-0923	30	0	1	69.2	346	16.6	2320
2102824974791225344	loop-s6-opd-fkl-latent-lr3e5wu10-plain-s1000-0923	40	0	1	66.4	332	18.6	2422
2102824974791225344	loop-s6-opd-fkl-latent-lr3e5wu10-plain-s1000-0923	50	0	1	68.6	343	16.6	2318
2102824974791225344	loop-s6-opd-fkl-latent-lr3e5wu10-plain-s1000-0923	60	0	1	66.8	334	19.0	2463
2102824974791225344	loop-s6-opd-fkl-latent-lr3e5wu10-plain-s1000-0923	70	0	1	67.0	335	15.8	2260
2102824974791225344	loop-s6-opd-fkl-latent-lr3e5wu10-plain-s1000-0923	80	0	1	68.0	340	17.6	2367
2102831425957933056	loop-s6-stage1-k1024v512-r1-256-600step-0923b-resume200	200	0	1	60.2	301	23.4	2836
2102831425957933056	loop-s6-stage1-k1024v512-r1-256-600step-0923b-resume200	300	0	1	66.6	333	16.0	2365
2102831425957933056	loop-s6-stage1-k1024v512-r1-256-600step-0923b-resume200	400	0	1	65.8	329	16.2	2358
2102831425957933056	loop-s6-stage1-k1024v512-r1-256-600step-0923b-resume200	500	0	1	66.0	330	18.0	2453
2102831425957933056	loop-s6-stage1-k1024v512-r1-256-600step-0923b-resume200	600	0	1	65.2	326	19.4	2506
2102897300480208896	loop-s6-window-math-opd30-0923		32	1	69.2	346	17.6	2332
2102897300480208896	loop-s6-window-math-opd30-0923		128	1	71.4	357	15.4	2164
2102903731585556480	loop-s6-window-math-kv1024-s600-0923		32	1	69.8	349	16.4	2258
2102903731585556480	loop-s6-window-math-kv1024-s600-0923		128	1	69.2	346	16.2	2239
2102930473201184768	loop-s6-stage1-k256v256-r1-256-600step-0923b	100	0	1	24.2	121	41.4	3863
2102930473201184768	loop-s6-stage1-k256v256-r1-256-600step-0923b	200	0	1	42.2	211	33.2	3404
2102930473201184768	loop-s6-stage1-k256v256-r1-256-600step-0923b	300	0	1	48.2	241	28.8	3067
2102930473201184768	loop-s6-stage1-k256v256-r1-256-600step-0923b	400	0	1	48.8	244	30.0	3127
2102930473201184768	loop-s6-stage1-k256v256-r1-256-600step-0923b	500	0	1	51.2	256	27.8	3009
2102930473201184768	loop-s6-stage1-k256v256-r1-256-600step-0923b	600	0	1	51.4	257	27.4	2973
2102965662258311168	loop-s6-stage1-k512v512-r1-256-w32-resume100-v2-0924	100	32	1	71.8	359	13.8	2221
2102965662258311168	loop-s6-stage1-k512v512-r1-256-w32-resume100-v2-0924	200	32	1	71.6	358	14.0	2215
2102965662258311168	loop-s6-stage1-k512v512-r1-256-w32-resume100-v2-0924	300	32	1	71.4	357	13.6	2210
2102965662258311168	loop-s6-stage1-k512v512-r1-256-w32-resume100-v2-0924	400	32	1	70.0	350	15.6	2277
2102965662258311168	loop-s6-stage1-k512v512-r1-256-w32-resume100-v2-0924	500	32	1	70.8	354	15.4	2236
2102965662258311168	loop-s6-stage1-k512v512-r1-256-w32-resume100-v2-0924	600	32	1	71.2	356	14.6	2175
2102989986428100608	loop-s6-opd-fkl-w32-w32-s100-0924	10	32	1	69.0	345	15.0	2286
2102989986428100608	loop-s6-opd-fkl-w32-w32-s100-0924	20	32	1	70.2	351	15.8	2337
2102989986428100608	loop-s6-opd-fkl-w32-w32-s100-0924	30	32	1	68.8	344	16.0	2320
2102989986428100608	loop-s6-opd-fkl-w32-w32-s100-0924	40	32	1	68.4	342	16.2	2328
2102989986428100608	loop-s6-opd-fkl-w32-w32-s100-0924	50	32	1	70.2	351	14.2	2259
2102989986428100608	loop-s6-opd-fkl-w32-w32-s100-0924	60	32	1	69.8	349	15.8	2327
2103028171241689088	loop-s6-stage1-k512v512-r1-512-w32-600sched-stop200-eval20-0924	20	32	1	52.0	260	26.4	3085
2103028171241689088	loop-s6-stage1-k512v512-r1-512-w32-600sched-stop200-eval20-0924	40	32	1	65.8	329	15.6	2330
2103028171241689088	loop-s6-stage1-k512v512-r1-512-w32-600sched-stop200-eval20-0924	60	32	1	69.0	345	15.8	2282
2103028171241689088	loop-s6-stage1-k512v512-r1-512-w32-600sched-stop200-eval20-0924	80	32	1	69.0	345	15.8	2261
2103028171241689088	loop-s6-stage1-k512v512-r1-512-w32-600sched-stop200-eval20-0924	100	32	1	69.4	347	15.2	2192
2103028171241689088	loop-s6-stage1-k512v512-r1-512-w32-600sched-stop200-eval20-0924	120	32	1	69.0	345	16.0	2296
2103028171241689088	loop-s6-stage1-k512v512-r1-512-w32-600sched-stop200-eval20-0924	140	32	1	69.4	347	16.8	2347
2103028171241689088	loop-s6-stage1-k512v512-r1-512-w32-600sched-stop200-eval20-0924	160	32	1	70.6	353	13.8	2199
2103028171241689088	loop-s6-stage1-k512v512-r1-512-w32-600sched-stop200-eval20-0924	180	32	1	69.2	346	15.6	2361
2103028171241689088	loop-s6-stage1-k512v512-r1-512-w32-600sched-stop200-eval20-0924	200	32	1	68.4	342	18.0	2408
2103073688986329088	loop-s6-opd-fkl-w32-lr1e5-w32-s100-0924	10	32	1	71.8	359	15.0	2338
2103073688986329088	loop-s6-opd-fkl-w32-lr1e5-w32-s100-0924	20	32	1	72.4	362	13.8	2191
2103073688986329088	loop-s6-opd-fkl-w32-lr1e5-w32-s100-0924	30	32	1	68.4	342	16.4	2354
2103073688986329088	loop-s6-opd-fkl-w32-lr1e5-w32-s100-0924	40	32	1	69.0	345	16.8	2325
